Year,Make,Model,Category,updatedAt,mmy,mmy2
2020,Honda,Insight,Sedan,2020-01-27T20:44:17.665Z,Honda Insight 2020,Honda Insight 2020
2020,Cadillac,Xt6,SUV,2020-01-27T20:44:17.665Z,Cadillac Xt6 2020,Cadillac Xt6 2020
2020,Cadillac,Xt5,SUV,2020-01-27T20:44:17.665Z,Cadillac Xt5 2020,Cadillac Xt5 2020
2020,Cadillac,Xt4,SUV,2020-01-27T20:44:17.665Z,Cadillac Xt4 2020,Cadillac Xt4 2020
2020,Buick,Enclave,SUV,2020-01-27T20:44:17.665Z,Buick Enclave 2020,Buick Enclave 2020
2020,Audi,Q5,SUV,2020-01-27T20:44:17.665Z,Audi Q5 2020,Audi Q5 2020
2020,Hyundai,Santa-Fe,SUV,2020-01-27T20:44:17.665Z,Hyundai Santa-Fe 2020,Hyundai Santa-Fe 2020
2020,Ford,Ecosport,SUV,2020-01-27T20:44:17.665Z,Ford Ecosport 2020,Ford Ecosport 2020
2020,Ford,Escape,SUV,2020-01-27T20:44:17.665Z,Ford Escape 2020,Ford Escape 2020
2020,Ford,Mustang,"Coupe, Convertible",2020-01-27T20:44:17.665Z,Ford Mustang 2020,Ford Mustang 2020
2020,Hyundai,Sonata,Sedan,2020-01-27T20:44:17.665Z,Hyundai Sonata 2020,Hyundai Sonata 2020
2020,Ford,Edge,SUV,2020-01-27T20:44:17.665Z,Ford Edge 2020,Ford Edge 2020
2020,Chevrolet,Camaro,Convertible,2020-01-27T20:44:17.665Z,Chevrolet Camaro 2020,Chevrolet Camaro 2020
2020,Hyundai,Kona-Electric,SUV,2020-01-27T20:44:17.665Z,Hyundai Kona-Electric 2020,Hyundai Kona-Electric 2020
2020,Chevrolet,Equinox,SUV,2020-01-27T20:44:17.665Z,Chevrolet Equinox 2020,Chevrolet Equinox 2020
2020,Gmc,Sierra-3500-Hd-Crew-Cab,Pickup,2020-01-27T20:44:17.665Z,Gmc Sierra-3500-Hd-Crew-Cab 2020,Gmc Sierra-3500-Hd-Crew-Cab 2020
2020,Jeep,Gladiator,Pickup,2020-01-27T20:44:17.666Z,Jeep Gladiator 2020,Jeep Gladiator 2020
2020,Bmw,X7,SUV,2020-01-27T20:44:17.665Z,Bmw X7 2020,Bmw X7 2020
2020,Cadillac,Ct6-V,Sedan,2020-01-27T20:44:17.665Z,Cadillac Ct6-V 2020,Cadillac Ct6-V 2020
2020,Audi,A7,Sedan,2020-01-27T20:44:17.665Z,Audi A7 2020,Audi A7 2020
2020,Chevrolet,Blazer,SUV,2020-01-27T20:44:17.665Z,Chevrolet Blazer 2020,Chevrolet Blazer 2020
2020,Ford,F150-Supercrew-Cab,Pickup,2020-01-27T20:44:17.665Z,Ford F150-Supercrew-Cab 2020,Ford F150-Supercrew-Cab 2020
2020,Chevrolet,Suburban,SUV,2020-01-27T20:44:17.665Z,Chevrolet Suburban 2020,Chevrolet Suburban 2020
2020,Honda,Civic,"Hatchback, Sedan, Coupe",2020-01-27T20:44:17.665Z,Honda Civic 2020,Honda Civic 2020
2020,Jeep,Compass,SUV,2020-01-27T20:44:17.666Z,Jeep Compass 2020,Jeep Compass 2020
2020,Cadillac,Escalade,SUV,2020-01-27T20:44:17.665Z,Cadillac Escalade 2020,Cadillac Escalade 2020
2020,Chrysler,Voyager,Van/Minivan,2020-01-27T20:44:17.665Z,Chrysler Voyager 2020,Chrysler Voyager 2020
2020,Honda,Accord-Hybrid,Sedan,2020-01-27T20:44:17.665Z,Honda Accord-Hybrid 2020,Honda Accord-Hybrid 2020
2020,Gmc,Terrain,SUV,2020-01-27T20:44:17.665Z,Gmc Terrain 2020,Gmc Terrain 2020
2020,Chevrolet,Spark,Hatchback,2020-01-27T20:44:17.665Z,Chevrolet Spark 2020,Chevrolet Spark 2020
2020,Gmc,Sierra-1500-Crew-Cab,Pickup,2020-01-27T20:44:17.665Z,Gmc Sierra-1500-Crew-Cab 2020,Gmc Sierra-1500-Crew-Cab 2020
2020,Hyundai,Nexo,SUV,2020-01-27T20:44:17.665Z,Hyundai Nexo 2020,Hyundai Nexo 2020
2020,Hyundai,Veloster,Coupe,2020-01-27T20:44:17.665Z,Hyundai Veloster 2020,Hyundai Veloster 2020
2020,Chevrolet,Silverado-1500-Crew-Cab,Pickup,2020-01-27T20:44:17.665Z,Chevrolet Silverado-1500-Crew-Cab 2020,Chevrolet Silverado-1500-Crew-Cab 2020
2020,Genesis,G70,Sedan,2020-01-27T20:44:17.665Z,Genesis G70 2020,Genesis G70 2020
2020,Cadillac,Ct5,Sedan,2020-01-27T20:44:17.665Z,Cadillac Ct5 2020,Cadillac Ct5 2020
2020,Honda,Odyssey,Van/Minivan,2020-01-27T20:44:17.665Z,Honda Odyssey 2020,Honda Odyssey 2020
2020,Hyundai,Elantra-Gt,Hatchback,2020-01-27T20:44:17.665Z,Hyundai Elantra-Gt 2020,Hyundai Elantra-Gt 2020
2020,Acura,Rdx,SUV,2020-01-27T20:44:17.665Z,Acura Rdx 2020,Acura Rdx 2020
2020,Gmc,Yukon-Xl,SUV,2020-01-27T20:44:17.665Z,Gmc Yukon-Xl 2020,Gmc Yukon-Xl 2020
2020,Ford,Ranger-Supercab,Pickup,2020-01-27T20:44:17.665Z,Ford Ranger-Supercab 2020,Ford Ranger-Supercab 2020
2020,Ford,Expedition-Max,SUV,2020-01-27T20:44:17.665Z,Ford Expedition-Max 2020,Ford Expedition-Max 2020
2020,Hyundai,Kona,SUV,2020-01-27T20:44:17.665Z,Hyundai Kona 2020,Hyundai Kona 2020
2020,Infiniti,Qx50,SUV,2020-01-27T20:44:17.666Z,Infiniti Qx50 2020,Infiniti Qx50 2020
2020,Dodge,Durango,SUV,2020-01-27T20:44:17.665Z,Dodge Durango 2020,Dodge Durango 2020
2020,Gmc,Yukon,SUV,2020-01-27T20:44:17.665Z,Gmc Yukon 2020,Gmc Yukon 2020
2020,Hyundai,Palisade,SUV,2020-01-27T20:44:17.665Z,Hyundai Palisade 2020,Hyundai Palisade 2020
2020,Honda,Ridgeline,Pickup,2020-01-27T20:44:17.665Z,Honda Ridgeline 2020,Honda Ridgeline 2020
2020,Jeep,Cherokee,SUV,2020-01-27T20:44:17.666Z,Jeep Cherokee 2020,Jeep Cherokee 2020
2020,Chevrolet,Bolt-Ev,Hatchback,2020-01-27T20:44:17.665Z,Chevrolet Bolt-Ev 2020,Chevrolet Bolt-Ev 2020
2020,Ford,Expedition,SUV,2020-01-27T20:44:17.665Z,Ford Expedition 2020,Ford Expedition 2020
2020,Hyundai,Elantra,Sedan,2020-01-27T20:44:17.665Z,Hyundai Elantra 2020,Hyundai Elantra 2020
2020,Honda,Passport,SUV,2020-01-27T20:44:17.665Z,Honda Passport 2020,Honda Passport 2020
2020,Dodge,Charger,Sedan,2020-01-27T20:44:17.665Z,Dodge Charger 2020,Dodge Charger 2020
2020,Honda,Accord,Sedan,2020-01-27T20:44:17.665Z,Honda Accord 2020,Honda Accord 2020
2020,Infiniti,Qx60,SUV,2020-01-27T20:44:17.666Z,Infiniti Qx60 2020,Infiniti Qx60 2020
2020,Hyundai,Venue,SUV,2020-01-27T20:44:17.665Z,Hyundai Venue 2020,Hyundai Venue 2020
2020,Honda,Pilot,SUV,2020-01-27T20:44:17.665Z,Honda Pilot 2020,Honda Pilot 2020
2020,Jeep,Grand-Cherokee,SUV,2020-01-27T20:44:17.666Z,Jeep Grand-Cherokee 2020,Jeep Grand-Cherokee 2020
2020,Chevrolet,Tahoe,SUV,2020-01-27T20:44:17.665Z,Chevrolet Tahoe 2020,Chevrolet Tahoe 2020
2020,Gmc,Acadia,SUV,2020-01-27T20:44:17.665Z,Gmc Acadia 2020,Gmc Acadia 2020
2020,Chevrolet,Impala,Sedan,2020-01-27T20:44:17.665Z,Chevrolet Impala 2020,Chevrolet Impala 2020
2020,Honda,Cr-V,SUV,2020-01-27T20:44:17.665Z,Honda Cr-V 2020,Honda Cr-V 2020
2020,Bmw,X5,SUV,2020-01-27T20:44:17.665Z,Bmw X5 2020,Bmw X5 2020
2020,Infiniti,Q60,Coupe,2020-01-27T20:44:17.666Z,Infiniti Q60 2020,Infiniti Q60 2020
2020,Ford,Ranger-Supercrew,Pickup,2020-01-27T20:44:17.665Z,Ford Ranger-Supercrew 2020,Ford Ranger-Supercrew 2020
2020,Chevrolet,Trax,SUV,2020-01-27T20:44:17.665Z,Chevrolet Trax 2020,Chevrolet Trax 2020
2020,Hyundai,Ioniq-Plug-In-Hybrid,Hatchback,2020-01-27T20:44:17.665Z,Hyundai Ioniq-Plug-In-Hybrid 2020,Hyundai Ioniq-Plug-In-Hybrid 2020
2020,Jaguar,E-Pace,SUV,2020-01-27T20:44:17.666Z,Jaguar E-Pace 2020,Jaguar E-Pace 2020
2020,Hyundai,Tucson,SUV,2020-01-27T20:44:17.665Z,Hyundai Tucson 2020,Hyundai Tucson 2020
2020,Ford,Explorer,SUV,2020-01-27T20:44:17.665Z,Ford Explorer 2020,Ford Explorer 2020
2020,Honda,Hr-V,SUV,2020-01-27T20:44:17.665Z,Honda Hr-V 2020,Honda Hr-V 2020
2020,Jaguar,I-Pace,SUV,2020-01-27T20:44:17.666Z,Jaguar I-Pace 2020,Jaguar I-Pace 2020
2020,Infiniti,Q50,Sedan,2020-01-27T20:44:17.666Z,Infiniti Q50 2020,Infiniti Q50 2020
2020,Genesis,G80,Sedan,2020-01-27T20:44:17.665Z,Genesis G80 2020,Genesis G80 2020
2020,Jaguar,F-Pace,SUV,2020-01-27T20:44:17.666Z,Jaguar F-Pace 2020,Jaguar F-Pace 2020
2020,Jeep,Renegade,SUV,2020-01-27T20:44:17.666Z,Jeep Renegade 2020,Jeep Renegade 2020
2020,Hyundai,Accent,Sedan,2020-01-27T20:44:17.665Z,Hyundai Accent 2020,Hyundai Accent 2020
2020,Jaguar,F-Type,Convertible,2020-01-27T20:44:17.666Z,Jaguar F-Type 2020,Jaguar F-Type 2020
2020,Jeep,Wrangler,SUV,2020-01-27T20:44:18.005Z,Jeep Wrangler 2020,Jeep Wrangler 2020
2020,Kia,Sorento,SUV,2020-01-27T20:44:18.005Z,Kia Sorento 2020,Kia Sorento 2020
2020,Kia,Rio,"Sedan, Hatchback",2020-01-27T20:44:18.005Z,Kia Rio 2020,Kia Rio 2020
2020,Land-Rover,Discovery-Sport,SUV,2020-01-27T20:44:18.006Z,Land-Rover Discovery-Sport 2020,Land-Rover Discovery-Sport 2020
2020,Kia,Sedona,Van/Minivan,2020-01-27T20:44:18.005Z,Kia Sedona 2020,Kia Sedona 2020
2020,Kia,Optima,Sedan,2020-01-27T20:44:18.005Z,Kia Optima 2020,Kia Optima 2020
2020,Kia,Sportage,SUV,2020-01-27T20:44:18.006Z,Kia Sportage 2020,Kia Sportage 2020
2020,Kia,Optima-Hybrid,Sedan,2020-01-27T20:44:18.005Z,Kia Optima-Hybrid 2020,Kia Optima-Hybrid 2020
2020,Kia,Optima-Plug-In-Hybrid,Sedan,2020-01-27T20:44:18.005Z,Kia Optima-Plug-In-Hybrid 2020,Kia Optima-Plug-In-Hybrid 2020
2020,Land-Rover,Range-Rover-Evoque,SUV,2020-01-27T20:44:18.006Z,Land-Rover Range-Rover-Evoque 2020,Land-Rover Range-Rover-Evoque 2020
2020,Kia,Telluride,SUV,2020-01-27T20:44:18.006Z,Kia Telluride 2020,Kia Telluride 2020
2020,Kia,Forte,Sedan,2020-01-27T20:44:18.005Z,Kia Forte 2020,Kia Forte 2020
2020,Jeep,Wrangler-Unlimited,SUV,2020-01-27T20:44:18.005Z,Jeep Wrangler-Unlimited 2020,Jeep Wrangler-Unlimited 2020
2020,Kia,Soul,Wagon,2020-01-27T20:44:18.005Z,Kia Soul 2020,Kia Soul 2020
2020,Land-Rover,Range-Rover-Sport,SUV,2020-01-27T20:44:18.006Z,Land-Rover Range-Rover-Sport 2020,Land-Rover Range-Rover-Sport 2020
2020,Land-Rover,Range-Rover,SUV,2020-01-27T20:44:18.006Z,Land-Rover Range-Rover 2020,Land-Rover Range-Rover 2020
2020,Kia,Stinger,Sedan,2020-01-27T20:44:18.006Z,Kia Stinger 2020,Kia Stinger 2020
2020,Land-Rover,Discovery,SUV,2020-01-27T20:44:18.006Z,Land-Rover Discovery 2020,Land-Rover Discovery 2020
2020,Land-Rover,Range-Rover-Velar,SUV,2020-01-27T20:44:18.006Z,Land-Rover Range-Rover-Velar 2020,Land-Rover Range-Rover-Velar 2020
2020,Lexus,Es,Sedan,2020-01-27T20:44:18.006Z,Lexus Es 2020,Lexus Es 2020
2020,Lexus,Lc,Coupe,2020-01-27T20:44:18.006Z,Lexus Lc 2020,Lexus Lc 2020
2020,Lexus,Lx,SUV,2020-01-27T20:44:18.006Z,Lexus Lx 2020,Lexus Lx 2020
2020,Lexus,Rc,Coupe,2020-01-27T20:44:18.006Z,Lexus Rc 2020,Lexus Rc 2020
2020,Lexus,Gx,SUV,2020-01-27T20:44:18.006Z,Lexus Gx 2020,Lexus Gx 2020
2020,Lexus,Is,Sedan,2020-01-27T20:44:18.006Z,Lexus Is 2020,Lexus Is 2020
2020,Lexus,Gs,Sedan,2020-01-27T20:44:18.006Z,Lexus Gs 2020,Lexus Gs 2020
2020,Lexus,Ls,Sedan,2020-01-27T20:44:18.006Z,Lexus Ls 2020,Lexus Ls 2020
2020,Lexus,Ux,SUV,2020-01-27T20:44:18.006Z,Lexus Ux 2020,Lexus Ux 2020
2020,Mercedes-Benz,Gls,SUV,2020-01-27T20:44:18.006Z,Mercedes-Benz Gls 2020,Mercedes-Benz Gls 2020
2020,Mercedes-Benz,Cla,Sedan,2020-01-27T20:44:18.006Z,Mercedes-Benz Cla 2020,Mercedes-Benz Cla 2020
2020,Mitsubishi,Outlander-Sport,SUV,2020-01-27T20:44:18.006Z,Mitsubishi Outlander-Sport 2020,Mitsubishi Outlander-Sport 2020
2020,Lincoln,Mkz,Sedan,2020-01-27T20:44:18.006Z,Lincoln Mkz 2020,Lincoln Mkz 2020
2020,Lincoln,Aviator,SUV,2020-01-27T20:44:18.006Z,Lincoln Aviator 2020,Lincoln Aviator 2020
2020,Lexus,Nx,SUV,2020-01-27T20:44:18.006Z,Lexus Nx 2020,Lexus Nx 2020
2020,Mazda,Cx-30,SUV,2020-01-27T20:44:18.006Z,Mazda Cx-30 2020,Mazda Cx-30 2020
2020,Mitsubishi,Eclipse-Cross,SUV,2020-01-27T20:44:18.006Z,Mitsubishi Eclipse-Cross 2020,Mitsubishi Eclipse-Cross 2020
2020,Mazda,Mazda3,"Sedan, Hatchback",2020-01-27T20:44:18.006Z,Mazda Mazda3 2020,Mazda Mazda3 2020
2020,Mitsubishi,Mirage-G4,Sedan,2020-01-27T20:44:18.006Z,Mitsubishi Mirage-G4 2020,Mitsubishi Mirage-G4 2020
2020,Lincoln,Navigator,SUV,2020-01-27T20:44:18.006Z,Lincoln Navigator 2020,Lincoln Navigator 2020
2020,Nissan,Armada,SUV,2020-01-27T20:44:18.006Z,Nissan Armada 2020,Nissan Armada 2020
2020,Mazda,Cx-5,SUV,2020-01-27T20:44:18.006Z,Mazda Cx-5 2020,Mazda Cx-5 2020
2020,Lincoln,Corsair,SUV,2020-01-27T20:44:18.006Z,Lincoln Corsair 2020,Lincoln Corsair 2020
2020,Lincoln,Navigator-L,SUV,2020-01-27T20:44:18.006Z,Lincoln Navigator-L 2020,Lincoln Navigator-L 2020
2020,Mercedes-Benz,G-Class,SUV,2020-01-27T20:44:18.006Z,Mercedes-Benz G-Class 2020,Mercedes-Benz G-Class 2020
2020,Lincoln,Nautilus,SUV,2020-01-27T20:44:18.006Z,Lincoln Nautilus 2020,Lincoln Nautilus 2020
2020,Lexus,Rx,SUV,2020-01-27T20:44:18.006Z,Lexus Rx 2020,Lexus Rx 2020
2020,Nissan,Kicks,SUV,2020-01-27T20:44:18.006Z,Nissan Kicks 2020,Nissan Kicks 2020
2020,Nissan,Murano,SUV,2020-01-27T20:44:18.006Z,Nissan Murano 2020,Nissan Murano 2020
2020,Mazda,Mazda6,Sedan,2020-01-27T20:44:18.006Z,Mazda Mazda6 2020,Mazda Mazda6 2020
2020,Mercedes-Benz,C-Class,"Convertible, Sedan, Coupe",2020-01-27T20:44:18.006Z,Mercedes-Benz C-Class 2020,Mercedes-Benz C-Class 2020
2020,Nissan,Nv3500-Hd-Passenger,Van/Minivan,2020-01-27T20:44:18.006Z,Nissan Nv3500-Hd-Passenger 2020,Nissan Nv3500-Hd-Passenger 2020
2020,Mercedes-Benz,Gla,SUV,2020-01-27T20:44:18.006Z,Mercedes-Benz Gla 2020,Mercedes-Benz Gla 2020
2020,Mazda,Cx-9,SUV,2020-01-27T20:44:18.006Z,Mazda Cx-9 2020,Mazda Cx-9 2020
2020,Nissan,Nv1500-Cargo,Van/Minivan,2020-01-27T20:44:18.006Z,Nissan Nv1500-Cargo 2020,Nissan Nv1500-Cargo 2020
2020,Mercedes-Benz,E-Class,"Coupe, Wagon, Sedan, Convertible",2020-01-27T20:44:18.006Z,Mercedes-Benz E-Class 2020,Mercedes-Benz E-Class 2020
2020,Mini,Countryman,SUV,2020-01-27T20:44:18.006Z,Mini Countryman 2020,Mini Countryman 2020
2020,Mercedes-Benz,Gle,SUV,2020-01-27T20:44:18.006Z,Mercedes-Benz Gle 2020,Mercedes-Benz Gle 2020
2020,Nissan,Maxima,Sedan,2020-01-27T20:44:18.006Z,Nissan Maxima 2020,Nissan Maxima 2020
2020,Nissan,370Z,Coupe,2020-01-27T20:44:18.006Z,Nissan 370Z 2020,Nissan 370Z 2020
2020,Mercedes-Benz,Glc,SUV,2020-01-27T20:44:18.006Z,Mercedes-Benz Glc 2020,Mercedes-Benz Glc 2020
2020,Mitsubishi,Mirage,Hatchback,2020-01-27T20:44:18.006Z,Mitsubishi Mirage 2020,Mitsubishi Mirage 2020
2020,Nissan,Altima,Sedan,2020-01-27T20:44:18.006Z,Nissan Altima 2020,Nissan Altima 2020
2020,Nissan,Gt-R,Coupe,2020-01-27T20:44:18.006Z,Nissan Gt-R 2020,Nissan Gt-R 2020
2020,Mitsubishi,Outlander,SUV,2020-01-27T20:44:18.006Z,Mitsubishi Outlander 2020,Mitsubishi Outlander 2020
2020,Mitsubishi,Outlander-Phev,SUV,2020-01-27T20:44:18.006Z,Mitsubishi Outlander-Phev 2020,Mitsubishi Outlander-Phev 2020
2020,Nissan,Nv3500-Hd-Cargo,Van/Minivan,2020-01-27T20:44:18.006Z,Nissan Nv3500-Hd-Cargo 2020,Nissan Nv3500-Hd-Cargo 2020
2020,Porsche,Panamera,Sedan,2020-01-27T20:44:18.006Z,Porsche Panamera 2020,Porsche Panamera 2020
2020,Porsche,Taycan,Sedan,2020-01-27T20:44:18.006Z,Porsche Taycan 2020,Porsche Taycan 2020
2020,Nissan,Pathfinder,SUV,2020-01-27T20:44:18.006Z,Nissan Pathfinder 2020,Nissan Pathfinder 2020
2020,Nissan,Rogue,SUV,2020-01-27T20:44:18.006Z,Nissan Rogue 2020,Nissan Rogue 2020
2020,Nissan,Nv200,Van/Minivan,2020-01-27T20:44:18.006Z,Nissan Nv200 2020,Nissan Nv200 2020
2020,Porsche,911,Convertible,2020-01-27T20:44:18.006Z,Porsche 911 2020,Porsche 911 2020
2020,Nissan,Rogue-Sport,SUV,2020-01-27T20:44:18.006Z,Nissan Rogue-Sport 2020,Nissan Rogue-Sport 2020
2020,Porsche,Macan,SUV,2020-01-27T20:44:18.006Z,Porsche Macan 2020,Porsche Macan 2020
2020,Porsche,Cayenne-Coupe,SUV,2020-01-27T20:44:18.006Z,Porsche Cayenne-Coupe 2020,Porsche Cayenne-Coupe 2020
2020,Porsche,Cayenne,SUV,2020-01-27T20:44:18.006Z,Porsche Cayenne 2020,Porsche Cayenne 2020
2020,Nissan,Nv2500-Hd-Cargo,Van/Minivan,2020-01-27T20:44:18.006Z,Nissan Nv2500-Hd-Cargo 2020,Nissan Nv2500-Hd-Cargo 2020
2020,Ram,3500-Crew-Cab,Pickup,2020-01-27T20:44:18.006Z,Ram 3500-Crew-Cab 2020,Ram 3500-Crew-Cab 2020
2020,Ram,1500-Crew-Cab,Pickup,2020-01-27T20:44:18.006Z,Ram 1500-Crew-Cab 2020,Ram 1500-Crew-Cab 2020
2020,Subaru,Brz,Coupe,2020-01-27T20:44:18.006Z,Subaru Brz 2020,Subaru Brz 2020
2020,Nissan,Versa,Sedan,2020-01-27T20:44:18.006Z,Nissan Versa 2020,Nissan Versa 2020
2020,Toyota,Avalon,Sedan,2020-01-27T20:44:18.007Z,Toyota Avalon 2020,Toyota Avalon 2020
2020,Subaru,Wrx,Sedan,2020-01-27T20:44:18.007Z,Subaru Wrx 2020,Subaru Wrx 2020
2020,Toyota,Camry,Sedan,2020-01-27T20:44:18.007Z,Toyota Camry 2020,Toyota Camry 2020
2020,Subaru,Impreza,"Wagon, Sedan",2020-01-27T20:44:18.007Z,Subaru Impreza 2020,Subaru Impreza 2020
2020,Subaru,Ascent,SUV,2020-01-27T20:44:18.006Z,Subaru Ascent 2020,Subaru Ascent 2020
2020,Subaru,Legacy,Sedan,2020-01-27T20:44:18.007Z,Subaru Legacy 2020,Subaru Legacy 2020
2020,Toyota,Corolla-Hatchback,Hatchback,2020-01-27T20:44:18.007Z,Toyota Corolla-Hatchback 2020,Toyota Corolla-Hatchback 2020
2020,Subaru,Crosstrek,SUV,2020-01-27T20:44:18.006Z,Subaru Crosstrek 2020,Subaru Crosstrek 2020
2020,Toyota,Corolla,Sedan,2020-01-27T20:44:18.007Z,Toyota Corolla 2020,Toyota Corolla 2020
2020,Toyota,86,Coupe,2020-01-27T20:44:18.007Z,Toyota 86 2020,Toyota 86 2020
2020,Subaru,Forester,SUV,2020-01-27T20:44:18.006Z,Subaru Forester 2020,Subaru Forester 2020
2020,Toyota,Avalon-Hybrid,Sedan,2020-01-27T20:44:18.007Z,Toyota Avalon-Hybrid 2020,Toyota Avalon-Hybrid 2020
2020,Ram,2500-Crew-Cab,Pickup,2020-01-27T20:44:18.006Z,Ram 2500-Crew-Cab 2020,Ram 2500-Crew-Cab 2020
2020,Toyota,4Runner,SUV,2020-01-27T20:44:18.007Z,Toyota 4Runner 2020,Toyota 4Runner 2020
2020,Subaru,Outback,SUV,2020-01-27T20:44:18.007Z,Subaru Outback 2020,Subaru Outback 2020
2020,Toyota,C-Hr,SUV,2020-01-27T20:44:18.007Z,Toyota C-Hr 2020,Toyota C-Hr 2020
2020,Toyota,Camry-Hybrid,Sedan,2020-01-27T20:44:18.007Z,Toyota Camry-Hybrid 2020,Toyota Camry-Hybrid 2020
2020,Toyota,Corolla-Hybrid,Sedan,2020-01-27T20:44:18.007Z,Toyota Corolla-Hybrid 2020,Toyota Corolla-Hybrid 2020
2020,Toyota,Gr-Supra,Coupe,2020-01-27T20:44:18.007Z,Toyota Gr-Supra 2020,Toyota Gr-Supra 2020
2020,Toyota,Highlander,SUV,2020-01-27T20:44:18.039Z,Toyota Highlander 2020,Toyota Highlander 2020
2020,Toyota,Prius,Hatchback,2020-01-27T20:44:18.039Z,Toyota Prius 2020,Toyota Prius 2020
2020,Toyota,Prius-Prime,Hatchback,2020-01-27T20:44:18.039Z,Toyota Prius-Prime 2020,Toyota Prius-Prime 2020
2020,Toyota,Rav4,SUV,2020-01-27T20:44:18.039Z,Toyota Rav4 2020,Toyota Rav4 2020
2020,Toyota,Tacoma-Access-Cab,Pickup,2020-01-27T20:44:18.039Z,Toyota Tacoma-Access-Cab 2020,Toyota Tacoma-Access-Cab 2020
2020,Toyota,Sienna,Van/Minivan,2020-01-27T20:44:18.039Z,Toyota Sienna 2020,Toyota Sienna 2020
2020,Toyota,Land-Cruiser,SUV,2020-01-27T20:44:18.039Z,Toyota Land-Cruiser 2020,Toyota Land-Cruiser 2020
2020,Toyota,Yaris,Sedan,2020-01-27T20:44:18.039Z,Toyota Yaris 2020,Toyota Yaris 2020
2020,Toyota,Rav4-Hybrid,SUV,2020-01-27T20:44:18.039Z,Toyota Rav4-Hybrid 2020,Toyota Rav4-Hybrid 2020
2020,Toyota,Highlander-Hybrid,SUV,2020-01-27T20:44:18.039Z,Toyota Highlander-Hybrid 2020,Toyota Highlander-Hybrid 2020
2020,Toyota,Sequoia,SUV,2020-01-27T20:44:18.039Z,Toyota Sequoia 2020,Toyota Sequoia 2020
2020,Toyota,Tundra-Double-Cab,Pickup,2020-01-27T20:44:18.039Z,Toyota Tundra-Double-Cab 2020,Toyota Tundra-Double-Cab 2020
2020,Toyota,Tacoma-Double-Cab,Pickup,2020-01-27T20:44:18.039Z,Toyota Tacoma-Double-Cab 2020,Toyota Tacoma-Double-Cab 2020
2020,Toyota,Tundra-Crewmax,Pickup,2020-01-27T20:44:18.039Z,Toyota Tundra-Crewmax 2020,Toyota Tundra-Crewmax 2020
